,Mw
F2-4,855.72
F3-2,6070.43
F3-3,3722.84
F3-4,4570.25
F4-2,1171.79
F4-3,963.52
F4-4,1032.56
F4-5,1187.24
F5-2,1510.55
F5-4,1005.77
F5-5,1179.2
F6-1,1521.39
F6-2,957.13
F6-3,1093.83
F6-4,896.49
F7-1,1512.38
F7-2,923.04
F7-3,1045.23
F7-4,843.49
F7-5,887.24
F9-1,1944.65
F9-4,820.15
G0-1,2915.07
G0-2,1535.93
G0-3,1945.06
G0-4,1942.07
G0-5,745.03
G1-1,972.09
G1-2,1352.94
G1-3,1257.99
G1-4,815.81
G10-1,822.01
G10-2,1259.65
G10-3,592.16
G10-4,546.71
G10-5,631.14
G11-1,729.88
G11-2,823.09
G11-3,539.7
G11-4,761
G11-5,649.19
G11-6,1210.48
G12-1,720.95
G12-2,875.72
G12-3,678.59
G12-5,582.25
G12-6,1050.5
G13-1,727.66
G13-2,699.03
G13-4,719.41
G13-5,547.62
G13-6,1146.23
G14-2,905.49
G14-3,617.69
G14-5,588.43
G14-6,1179.68
G15-1,787.69
G2-1,809.04
G2-3,601.34
G2-4,840.95
G2-5,738.64
G2-6,1022.65
G3-1,6140.26
G3-3,4591.33
G3-4,8488.86
G3-5,2793.16
G3-6,5497.96
G4-1,828.37
G4-2,813.55
G4-3,584.23
G4-4,1290.97
G4-5,702.79
G4-6,1360.29
G5-1,757.76
G5-3,747.61
G5-5,755.61
G6-2,761.61
G6-4,943.4
G6-5,751.6
G7-1,889.66
G7-2,897.71
G7-3,749.54
G7-4,844.93
G7-5,782.45
G7-6,1077.72
G8-1,995.3
G8-2,586.24
G8-3,433.82
G8-4,1038.62
G8-5,670.25
G9-1,1053.5
G9-2,644.09
G9-3,623.28
G9-4,867.99
G9-5,621.16
G9-6,1202.14
H0-1,2101.1
H0-2,621.91
H0-3,1226.78
H1-1,907.8
H1-2,987.83
H1-3,641.84
H10-1,899.8
H10-2,638
H10-3,354.59
H11-1,895.1
H11-3,224.16
H12-2,660.5
H12-3,438.87
H13-2,657.8
H13-3,466.64
H14-1,845.7
H14-2,638.65
H14-3,435.65
H15-1,604.6
H15-2,677
H2-1,807.3
H2-2,744.82
H3-1,4709.8
H3-2,4182.79
H3-3,6393.25
H4-1,952.8
H4-2,799.25
H4-3,631.84
H5-1,912.9
H5-2,771.09
H5-3,686.37
H6-1,617.5
H6-3,1048.24
H7-2,796.01
H7-3,631.23
H8-1,654.1
H8-2,765.48
H8-3,577.68
H9-1,878.7
H9-2,545.45
H9-3,637.97
